binary_package	binary_version	source_package	source_version	repo_relative_path	source_directory	repo_url
libx11-6	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc
libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.diff.gz	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.diff.gz
libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.dsc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.dsc
libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz
libx11-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc
libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.diff.gz	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.diff.gz
libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.dsc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.dsc
libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz
libx11-xcb-dev	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5.orig.tar.gz.asc
libx11-xcb1	2:1.7.5-1ubuntu0.3	libx11	2:1.7.5-1ubuntu0.3	libx11/2%3a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.diff.gz	libx11/2%3a1.7.5-1ubuntu0.3	https://github.com/Malterlib/MalterlibBinariesSDK_Linux_DebianBased_Source_rLFS/blob/master/libx11/2%253a1.7.5-1ubuntu0.3/libx11_1.7.5-1ubuntu0.3.diff.gz
