binary_package	binary_version	source_package	source_version
libgomp1	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libgpg-error-dev	1.43-3	libgpg-error	1.43-3
libgpg-error0	1.43-3	libgpg-error	1.43-3
libgraphite2-3	1.3.14-1build2	graphite2	1.3.14-1build2
libgraphite2-dev	1.3.14-1build2	graphite2	1.3.14-1build2
libgssapi-krb5-2	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libgssrpc4	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libgtk-3-0	3.24.33-1ubuntu2.2	gtk+3.0	3.24.33-1ubuntu2.2
libgtk-3-dev	3.24.33-1ubuntu2.2	gtk+3.0	3.24.33-1ubuntu2.2
libgudev-1.0-0	1:237-2build1	libgudev	237-2build1
libgudev-1.0-dev	1:237-2build1	libgudev	237-2build1
libharfbuzz-dev	2.7.4-1ubuntu3.2	harfbuzz	2.7.4-1ubuntu3.2
libharfbuzz-gobject0	2.7.4-1ubuntu3.2	harfbuzz	2.7.4-1ubuntu3.2
libharfbuzz-icu0	2.7.4-1ubuntu3.2	harfbuzz	2.7.4-1ubuntu3.2
libharfbuzz0b	2.7.4-1ubuntu3.2	harfbuzz	2.7.4-1ubuntu3.2
libhogweed6	3.7.3-1build2	nettle	3.7.3-1build2
libib-util	3.0.8.33535.ds4-1ubuntu2	firebird3.0	3.0.8.33535.ds4-1ubuntu2
libice-dev	2:1.0.10-1build2	libice	2:1.0.10-1build2
libice6	2:1.0.10-1build2	libice	2:1.0.10-1build2
libicu-dev	70.1-2	icu	70.1-2
libicu70	70.1-2	icu	70.1-2
libidn2-0	2.3.2-2build1	libidn2	2.3.2-2build1
libinput-dev	1.20.0-1ubuntu0.3	libinput	1.20.0-1ubuntu0.3
libinput10	1.20.0-1ubuntu0.3	libinput	1.20.0-1ubuntu0.3
libip4tc2	1.8.7-1ubuntu5.2	iptables	1.8.7-1ubuntu5.2
libisl23	0.24-2build1	isl	0.24-2build1
libitm1	12.3.0-1ubuntu1~22.04.3	gcc-12	12.3.0-1ubuntu1~22.04.3
libjbig-dev	2.1-3.1ubuntu0.22.04.1	jbigkit	2.1-3.1ubuntu0.22.04.1
libjbig0	2.1-3.1ubuntu0.22.04.1	jbigkit	2.1-3.1ubuntu0.22.04.1
libjpeg-turbo8	2.1.2-0ubuntu1	libjpeg-turbo	2.1.2-0ubuntu1
libjpeg-turbo8-dev	2.1.2-0ubuntu1	libjpeg-turbo	2.1.2-0ubuntu1
libjson-c5	0.15-3~ubuntu1.22.04.2	json-c	0.15-3~ubuntu1.22.04.2
libjsoncpp25	1.9.5-3	libjsoncpp	1.9.5-3
libk5crypto3	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libkadm5clnt-mit12	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libkadm5srv-mit12	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libkdb5-10	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libkeyutils1	1.6.1-2ubuntu3	keyutils	1.6.1-2ubuntu3
libkmod2	29-1ubuntu1	kmod	29-1ubuntu1
libkrb5-3	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libkrb5support0	1.19.2-2ubuntu0.7	krb5	1.19.2-2ubuntu0.7
libksba8	1.6.0-2ubuntu0.2	libksba	1.6.0-2ubuntu0.2
liblcms2-2	2.12~rc1-2build2	lcms2	2.12~rc1-2build2
libldap-2.5-0	2.5.20+dfsg-0ubuntu0.22.04.1	openldap	2.5.20+dfsg-0ubuntu0.22.04.1
libllvm14	1:14.0.0-1ubuntu1.1	llvm-toolchain-14	1:14.0.0-1ubuntu1.1
