sdk_file	system_path	binary_package	binary_version	source_package	source_version
/usr/include/X11/extensions/XLbx.h	/usr/include/X11/extensions/XLbx.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/XResproto.h	/usr/include/X11/extensions/XResproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XShm.h	/usr/include/X11/extensions/XShm.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/XTest.h	/usr/include/X11/extensions/XTest.h	libxtst-dev	2:1.2.3-1build4	libxtst	2:1.2.3-1build4
/usr/include/X11/extensions/Xag.h	/usr/include/X11/extensions/Xag.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/Xcomposite.h	/usr/include/X11/extensions/Xcomposite.h	libxcomposite-dev	1:0.4.5-1build2	libxcomposite	1:0.4.5-1build2
/usr/include/X11/extensions/Xcup.h	/usr/include/X11/extensions/Xcup.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/Xdamage.h	/usr/include/X11/extensions/Xdamage.h	libxdamage-dev	1:1.1.5-2build2	libxdamage	1:1.1.5-2build2
/usr/include/X11/extensions/Xdbe.h	/usr/include/X11/extensions/Xdbe.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/Xext.h	/usr/include/X11/extensions/Xext.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/Xfixes.h	/usr/include/X11/extensions/Xfixes.h	libxfixes-dev	1:6.0.0-1	libxfixes	1:6.0.0-1
/usr/include/X11/extensions/Xge.h	/usr/include/X11/extensions/Xge.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/Xinerama.h	/usr/include/X11/extensions/Xinerama.h	libxinerama-dev	2:1.1.4-3	libxinerama	2:1.1.4-3
/usr/include/X11/extensions/Xrandr.h	/usr/include/X11/extensions/Xrandr.h	libxrandr-dev	2:1.5.2-1build1	libxrandr	2:1.5.2-1build1
/usr/include/X11/extensions/Xrender.h	/usr/include/X11/extensions/Xrender.h	libxrender-dev	1:0.9.10-1build4	libxrender	1:0.9.10-1build4
/usr/include/X11/extensions/Xv.h	/usr/include/X11/extensions/Xv.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XvMC.h	/usr/include/X11/extensions/XvMC.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/XvMCproto.h	/usr/include/X11/extensions/XvMCproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/Xvproto.h	/usr/include/X11/extensions/Xvproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/ag.h	/usr/include/X11/extensions/ag.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/agproto.h	/usr/include/X11/extensions/agproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/applewmconst.h	/usr/include/X11/extensions/applewmconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/applewmproto.h	/usr/include/X11/extensions/applewmproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/bigreqsproto.h	/usr/include/X11/extensions/bigreqsproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/bigreqstr.h	/usr/include/X11/extensions/bigreqstr.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/composite.h	/usr/include/X11/extensions/composite.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/compositeproto.h	/usr/include/X11/extensions/compositeproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/cup.h	/usr/include/X11/extensions/cup.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/cupproto.h	/usr/include/X11/extensions/cupproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/damageproto.h	/usr/include/X11/extensions/damageproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/damagewire.h	/usr/include/X11/extensions/damagewire.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dbe.h	/usr/include/X11/extensions/dbe.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dbeproto.h	/usr/include/X11/extensions/dbeproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dmx.h	/usr/include/X11/extensions/dmx.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dmxproto.h	/usr/include/X11/extensions/dmxproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dpms.h	/usr/include/X11/extensions/dpms.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/dpmsconst.h	/usr/include/X11/extensions/dpmsconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dpmsproto.h	/usr/include/X11/extensions/dpmsproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dri2proto.h	/usr/include/X11/extensions/dri2proto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dri2tokens.h	/usr/include/X11/extensions/dri2tokens.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/dri3proto.h	/usr/include/X11/extensions/dri3proto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/extutil.h	/usr/include/X11/extensions/extutil.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/ge.h	/usr/include/X11/extensions/ge.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/geproto.h	/usr/include/X11/extensions/geproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/lbx.h	/usr/include/X11/extensions/lbx.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/lbxproto.h	/usr/include/X11/extensions/lbxproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/mitmiscconst.h	/usr/include/X11/extensions/mitmiscconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/mitmiscproto.h	/usr/include/X11/extensions/mitmiscproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/multibuf.h	/usr/include/X11/extensions/multibuf.h	libxext-dev	2:1.3.4-1build1	libxext	2:1.3.4-1build1
/usr/include/X11/extensions/multibufconst.h	/usr/include/X11/extensions/multibufconst.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/multibufproto.h	/usr/include/X11/extensions/multibufproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/panoramiXext.h	/usr/include/X11/extensions/panoramiXext.h	libxinerama-dev	2:1.1.4-3	libxinerama	2:1.1.4-3
/usr/include/X11/extensions/panoramiXproto.h	/usr/include/X11/extensions/panoramiXproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
/usr/include/X11/extensions/presentproto.h	/usr/include/X11/extensions/presentproto.h	x11proto-dev	2021.5-1	xorgproto	2021.5-1
